Contig	GeneID	Start	End	Annotation
Contig_1	PSPPH_A0043	36473	36583	Uncharacterized protein 
Contig_1	PSPPH_A0044	36919	37029	ISPsy16, transposase 
Contig_1	PSPPH_A0045	37621	37268	Uncharacterized protein 
Contig_1	PSPPH_A0047	39892	39068	Uncharacterized protein 
Contig_1	PSPPH_A0048	40090	40719	ATPase, ParA family 
Contig_1	PSPPH_A0049	40740	40958	Plasmid partition protein ParB, truncated 
Contig_1	PSPPH_A0050	41923	42357	ISPsy4, transposition helper protein 
Contig_1	PSPPH_A0051	42803	43054	Uncharacterized protein 
Contig_1	PSPPH_A0052	43054	43464	Uncharacterized protein 
Contig_1	PSPPH_A0053	43468	43626	Uncharacterized protein 
Contig_1	PSPPH_A0055	45495	45680	Uncharacterized protein 
Contig_1	PSPPH_A0056	45673	48066	Type III effector HopAV1 
Contig_1	PSPPH_A0059	49118	48891	Uncharacterized protein 
Contig_1	PSPPH_A0060	49335	49613	ISPsy26, transposase orfA 
Contig_1	PSPPH_A0061	49604	50485	ISPsy26, transposase orfB 
Contig_1	PSPPH_A0062	50672	51670	LysR-family transcription regulator SinR 
Contig_1	PSPPH_A0063	51922	52659	Fimbrial chaperone protein, periplasmic 
Contig_1	PSPPH_A0064	52693	55188	Outer-membrane fimbrial usher protein 
Contig_1	PSPPH_A0065	55181	55630	Invasin protein AfaD 
Contig_1	PSPPH_A0066	55678	56265	Uncharacterized protein 
Contig_1	PSPPH_A0067	56772	57203	Uncharacterized protein 
Contig_1	PSPPH_A0068	57374	58477	ISPsy19, transposase 
Contig_1	PSPPH_A0069	58764	59399	Stability/partitioning determinant 
Contig_1	PSPPH_A0070	59577	59765	Uncharacterized protein 
Contig_1	PSPPH_A0071	59765	60046	Addiction module toxin, RelE/StbE family 
Contig_1	PSPPH_A0072	61814	60198	Polygalacturonase 
Contig_1	PSPPH_A0073	61862	61978	Unknown protein sequence
Contig_1	PSPPH_A0074	62339	62157	Uncharacterized protein 
Contig_1	PSPPH_A0075	63466	63182	Type III secreted effector hopPmaA 
Contig_1	PSPPH_A0076	63904	63620	Resolvase domain-containing protein 
Contig_1	PSPPH_A0077	64803	64354	Uncharacterized protein 
Contig_1	PSPPH_A0080	68508	66931	Methyl-accepting chemotaxis protein 
Contig_1	PSPPH_A0081	70074	68971	ISPsy19, transposase 
Contig_1	PSPPH_A0083	71644	72876	IS801, transposase 
Contig_1	PSPPH_A0085	74843	74169	Transposase, truncated 
Contig_1	PSPPH_A0087	76655	75990	Type III effector AvrRps4 
Contig_1	PSPPH_A0089	78076	77174	ISPsy21, transposase orfB 
Contig_1	PSPPH_A0090	78396	78073	ISPsy21, transposase orfA 
Contig_1	PSPPH_A0091	78948	80273	Uncharacterized protein 
Contig_1	PSPPH_A0092	80325	81113	Uncharacterized protein 
Contig_1	PSPPH_A0093	82093	81131	Site-specific recombinase, phage integrase family 
Contig_1	PSPPH_A0094	82424	82672	Prevent-host-death family protein 
Contig_1	PSPPH_A0095	82685	83035	Plasmid stabilization system protein, RelE/ParE family 
Contig_1	PSPPH_A0096	84195	84359	Transposase, truncated 
Contig_1	PSPPH_A0097	84470	85504	ISPsy16, transposase 
Contig_1	PSPPH_A0098	85779	85657	Uncharacterized protein 
Contig_1	PSPPH_A0099	86076	88025	GGDEF domain/EAL domain protein 
Contig_1	PSPPH_A0100	88114	89217	ISPsy19, transposase 
Contig_1	PSPPH_A0101	89254	89865	DNA invertase 
Contig_1	PSPPH_A0102	89935	90222	YacA 
Contig_1	PSPPH_A0103	90222	90500	Addiction module toxin, RelE/StbE family 
Contig_1	PSPPH_A0104	90925	90704	Uncharacterized protein 
Contig_1	PSPPH_A0105	91125	90889	Carbon storage regulator-related protein 
Contig_1	PSPPH_A0106	91909	91331	Hypothetical conserved protein, putative 
Contig_1	PSPPH_A0107	92565	91909	SanC, putative 
Contig_1	PSPPH_A0108	93861	92602	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase 
Contig_1	PSPPH_A0109	94681	93845	ORF4 
Contig_1	PSPPH_A0110	95862	94897	Uncharacterized protein 
Contig_1	PSPPH_A0111	95978	95880	Uncharacterized protein 
Contig_1	PSPPH_A0112	96610	95963	Phosphoglycerate mutase family protein 
Contig_1	PSPPH_A0113	97786	96851	Syringolide biosynthetic protein AvrD1 
Contig_1	PSPPH_A0114	97940	98182	Uncharacterized protein 
Contig_1	PSPPH_A0115	98846	98340	Uncharacterized protein 
Contig_1	PSPPH_A0116	99150	99995	Putative transposase 
Contig_1	PSPPH_A0117	100873	100022	ISPsy2, transposase 
Contig_1	PSPPH_A0118	101211	101101	IS801, transposase 
Contig_1	PSPPH_A0120	103491	102433	Avirulence protein AvrPphC 
Contig_1	PSPPH_A0122	105470	104814	Type III effector HopAW1 
Contig_1	PSPPH_A0123	105733	105578	Uncharacterized protein 
Contig_1	PSPPH_A0125	106814	106665	Conserved domain protein 
Contig_1	PSPPH_A0126	107110	106991	Uncharacterized protein 
Contig_1	PSPPH_A0127	108726	107107	Effector protein hopAB1 
Contig_1	PSPPH_A0128	110213	109179	ISPsy16, transposase 
Contig_1	PSPPH_A0129	110671	111642	Yersinia/Haemophilus virulence surface antigen family 
Contig_1	PSPPH_A0130	111872	111627	Uncharacterized protein 
Contig_1	PSPPH_A0132	112693	113727	ISPsy16, transposase 
Contig_1	PSPPH_A0133	120480	114025	Shikimate kinase 
Contig_1	PSPPH_A0134	120674	120489	Uncharacterized protein 
Contig_1	PSPPH_A0135	121680	121048	Resolvase 
Contig_1	PSPPH_A0136	122140	121721	Ribonuclease VapC 
Contig_1	PSPPH_A0137	122394	122137	Plasmid stability protein StbC 
Contig_1	PSPPH_A0138	122859	123563	Stability/partitioning determinant 
Contig_1	PSPPH_A0139	123560	123883	Stability/partitioning determinant, putative 
Contig_1	PSPPH_A0140	124968	124261	Transposase 
Contig_1	PSPPH_A0141	125028	125942	ISPsy24, transposase orfB 
Contig_1	PSPPH_A0142	126606	126280	Uncharacterized protein 
Contig_1	PSPPH_A0143	127165	127443	ISPsy26, transposase orfA 
Contig_1	PSPPH_A0144	127586	127957	Conjugal transfer protein 
Contig_1	PSPPH_A0145	127806	129761	Conjugal transfer protein 
Contig_1	PSPPH_A0146	129758	130069	Conjugal transfer protein 
Contig_1	PSPPH_A0147	130059	130607	Conjugal transfer protein 
Contig_1	PSPPH_A0148	130713	131363	ParA family protein 
Contig_1	PSPPH_A0149	131912	131805	Uncharacterized protein 
Contig_2	PSPPH_0001	238	1773	Chromosomal replication initiator protein DnaA 
Contig_2	PSPPH_0002	1812	2915	DNA polymerase III subunit beta 
Contig_2	PSPPH_0003	2938	4041	DNA replication and repair protein RecF 
Contig_2	PSPPH_0004	4046	6463	DNA gyrase subunit B 
Contig_2	PSPPH_0005	6773	8098	Oxidoreductase, FAD-binding 
Contig_2	PSPPH_0007	11044	9812	IS801, transposase 
Contig_2	PSPPH_0008	12453	11095	Oxidoreductase, alpha (Molybdopterin) subunit, fusion 
Contig_2	PSPPH_0009	13732	12962	HdtS protein 
Contig_2	PSPPH_0010	14343	13798	D,D-heptose 1,7-bisphosphate phosphatase 
Contig_2	PSPPH_0011	16408	14354	Glycine--tRNA ligase beta subunit 
Contig_2	PSPPH_0012	17412	16405	Glycyl-tRNA synthetase subunit alpha 
Contig_2	PSPPH_0013	17433	17984	DNA-3-methyladenine glycosidase I 
Contig_2	PSPPH_0014	18023	18910	Lipid A biosynthesis lauroyl acyltransferase, putative 
Contig_2	PSPPH_0015	18981	19598	Uncharacterized protein 
Contig_2	PSPPH_0016	20965	19733	IS801, transposase 
Contig_2	PSPPH_0017	22644	21016	Oxidoreductase alpha (Molybdopterin) subunit, fusion 
Contig_2	PSPPH_0018	24172	22799	Trk system potassium uptake protein TrkA 
Contig_2	PSPPH_0019	25515	24169	Sun protein 
Contig_2	PSPPH_0020	26456	25512	Methionyl-tRNA formyltransferase 
Contig_2	PSPPH_0021	27022	26516	Peptide deformylase 
Contig_2	PSPPH_0022	27148	28173	LysM domain protein 
Contig_2	PSPPH_0023	28297	29415	DNA processing protein DprA 
Contig_2	PSPPH_0024	29454	30011	Threonylcarbamoyl-AMP synthase 
Contig_2	PSPPH_0025	31008	30031	Quinone oxidoreductase 
Contig_2	PSPPH_0026	31180	32094	Oxygen-dependent coproporphyrinogen-III oxidase 
Contig_2	PSPPH_0027	32094	32918	Shikimate dehydrogenase 
Contig_2	PSPPH_0028	34583	33015	Sulfate transporter family protein 
Contig_2	PSPPH_0029	35686	34760	Glycine/betaine family, ABC transporter, substrate-binding protein 
Contig_2	PSPPH_0030	37229	35724	Choline sulfatase 
Contig_2	PSPPH_0031	37344	38294	Transcriptional regulator, LysR family 
Contig_2	PSPPH_0032	38331	38663	DOPA 4,5-dioxygenase-related protein 
Contig_2	PSPPH_0033	38877	39701	3-oxoadipate enol-lactonase, putative 
Contig_2	PSPPH_0034	40416	39886	CigR 
Contig_2	PSPPH_0035	41354	40542	Tryptophan synthase alpha chain 
Contig_2	PSPPH_0036	42580	41351	Tryptophan synthase beta chain 
Contig_2	PSPPH_0037	42708	43616	Transcriptional regulator TrpI 
Contig_2	PSPPH_0038	43943	43617	CbsD/ElaB superfamily protein 
Contig_2	PSPPH_0039	44110	44325	Uncharacterized protein 
Contig_2	PSPPH_0040	44402	44698	Uncharacterized protein 
Contig_2	PSPPH_0041	45838	44837	Bacterial luciferase family protein 
Contig_2	PSPPH_0042	46051	46482	Hydroperoxide resistance protein OsmC 
Contig_2	PSPPH_0043	46601	46834	Uncharacterized protein 
Contig_2	PSPPH_0044	47269	46835	Lipoprotein, putative 
Contig_2	PSPPH_0046	47647	48906	ISPsy18, transposase 
Contig_2	PSPPH_0048	49624	50679	Uncharacterized protein 
Contig_2	PSPPH_0049	52123	50864	ISPsy18, transposase 
Contig_2	PSPPH_0050	52747	52202	Bacterial transferase hexapeptide repeat protein 
Contig_2	PSPPH_0051	52824	54911	Oligopeptidase A 
Contig_2	PSPPH_0052	54908	55195	Uncharacterized protein 
Contig_2	PSPPH_0053	55510	55283	Uncharacterized protein 
Contig_2	PSPPH_0054	57623	55725	Lead uptake protein, putative 
Contig_2	PSPPH_0055	58417	57785	Homoserine/homoserine lactone efflux protein 
Contig_2	PSPPH_0056	59078	58485	Uncharacterized protein 
Contig_2	PSPPH_0057	61050	59095	ABC transporter, ATP-binding protein 
Contig_2	PSPPH_0058	61052	61528	Uncharacterized protein 
Contig_2	PSPPH_0059	62550	61525	Alginate regulatory protein AlgR3 
Contig_2	PSPPH_0060	62767	63447	Peptidyl-prolyl cis-trans isomerase 
Contig_2	PSPPH_0061	64001	63528	Alginate regulator AlgQ 
Contig_2	PSPPH_0062	64171	64019	Uncharacterized protein 
Contig_2	PSPPH_0063	64763	64176	Disulfide bond formation protein B 
Contig_2	PSPPH_0064	66164	64920	HemY protein 
Contig_2	PSPPH_0065	67300	66161	Uroporphyrin-III C-methyltransferase, putative 
Contig_2	PSPPH_0066	68109	67336	Uroporphyrinogen-III synthetase 
Contig_2	PSPPH_0067	69092	68106	Porphobilinogen deaminase 
Contig_2	PSPPH_0068	69120	69218	Uncharacterized protein 
Contig_2	PSPPH_0069	70026	69280	Alginate biosynthesis regulatory protein AlgR 
Contig_2	PSPPH_0070	71105	70023	Sensor histidine kinase FimS 
Contig_2	PSPPH_0071	71239	72633	Argininosuccinate lyase 
Contig_2	PSPPH_0072	73092	74333	Membrane protein, putative 
Contig_2	PSPPH_0073	75561	74338	Membrane protein, putative 
Contig_2	PSPPH_0074	77004	75628	Peptidase, M16 family 
Contig_2	PSPPH_0075	78714	77062	Na/Pi cotransporter family protein 
Contig_2	PSPPH_0076	81962	79986	Methyl-accepting chemotaxis protein 
Contig_2	PSPPH_0077	83067	82147	Transcriptional regulator, LysR family 
Contig_2	PSPPH_0078	83223	84602	Multidrug resistance protein NorM, putative 
Contig_2	PSPPH_0079	86279	84615	GGDEF domain/EAL domain protein 
Contig_2	PSPPH_0080	86485	88494	ATP-dependent DNA helicase Rep 
Contig_2	PSPPH_0081	88548	89117	Xanthine phosphoribosyltransferase 
Contig_2	PSPPH_0082	90688	89366	Sigma-54 dependent transcriptional regulator 
Contig_2	PSPPH_0083	90955	91839	Metallo-beta-lactamase family protein 
Contig_2	PSPPH_0084	91867	93120	Pyridine nucleotide-disulfide oxidoreductase 
Contig_2	PSPPH_0085	93113	93925	Membrane protein, putative 
Contig_2	PSPPH_0086	95147	94167	Sulfate/thiosulfate import ATP-binding protein CysA 
Contig_2	PSPPH_0087	96022	95150	Sulfate ABC transporter, permease protein CysW 
Contig_2	PSPPH_0088	96857	96036	Sulfate ABC transporter, permease protein CysT 
Contig_2	PSPPH_0089	97962	96952	Sulfate-binding protein 
Contig_2	PSPPH_0090	98295	98113	Uncharacterized protein 
Contig_2	PSPPH_0091	100420	98492	Sensory box-containing diguanylate cyclase, putative 
Contig_2	PSPPH_0092	100492	101760	Fatty acid desaturase 
Contig_2	PSPPH_0093	101938	102888	Sensory box/GGDEF domain protein 
Contig_2	PSPPH_0094	104551	103160	Response regulator 
Contig_2	PSPPH_0095	105990	104710	4-aminobutyrate transaminase 
Contig_2	PSPPH_0096	107640	106198	Succinate-semialdehyde dehydrogenase 
Contig_2	PSPPH_0097	109361	108096	Pyridine nucleotide-disulfide oxidoreductase 
Contig_2	PSPPH_0099	109724	110797	Shufflon-specific recombinase 
Contig_2	PSPPH_0100	111138	112709	Recombinase 
Contig_2	PSPPH_0101	112706	113614	ParB family protein 
Contig_2	PSPPH_0102	113614	114579	ParB-like nuclease 
Contig_2	PSPPH_0103	116302	116691	Uncharacterized protein 
Contig_2	PSPPH_0104	119996	116979	Type I restriction-modification system restriction subunit 
Contig_2	PSPPH_0105	121882	120413	Carbon storage regulator related protein 
Contig_2	PSPPH_0106	123228	121882	Type I restriction-modification system specificity subunit 
Contig_2	PSPPH_0107	125620	123215	Type I restriction-modification system DNA methylase 
Contig_2	PSPPH_0108	126146	126481	Lipoprotein, putative 
Contig_2	PSPPH_0109	126723	127403	Membrane protein, putative 
Contig_2	PSPPH_0110	127470	128234	Oxidoreductase, short-chain dehydrogenase/reductase family 
Contig_2	PSPPH_0111	128275	128730	Acetyltransferase 
Contig_2	PSPPH_0112	128727	129446	Uncharacterized protein 
Contig_2	PSPPH_0113	131262	130159	ISPsy19, transposase 
Contig_2	PSPPH_0114	131400	132371	ISPsy2, transposase 
Contig_2	PSPPH_0115	133010	132507	Lipoprotein, putative 
Contig_2	PSPPH_0116	134130	133108	Lipoprotein, putative 
Contig_2	PSPPH_0117	136063	134132	Phospholipase D family protein 
Contig_2	PSPPH_0118	136368	136114	Gp28 
Contig_2	PSPPH_0119	137973	136714	ISPsy18, transposase 
Contig_2	PSPPH_0121	139919	138816	ImpA-related N-terminal family 
Contig_2	PSPPH_0122	140524	140006	Uncharacterized protein 
Contig_2	PSPPH_0123	143172	140680	OmpA domain protein 
Contig_2	PSPPH_0124	144092	143169	Uncharacterized protein 
Contig_2	PSPPH_0125	148044	144124	ImcF-related family 
Contig_2	PSPPH_0126	148788	148075	Uncharacterized protein 
Contig_2	PSPPH_0127	150128	148785	Uncharacterized protein 
Contig_2	PSPPH_0128	150880	150125	Lipoprotein, putative 
Contig_2	PSPPH_0129	153509	150906	ATP-dependent Clp protease ATP-binding subunit 
Contig_2	PSPPH_0130	154576	153506	ImpH 
Contig_2	PSPPH_0131	156372	154540	ImpG 
Contig_2	PSPPH_0132	156854	156372	Uncharacterized protein 
Contig_2	PSPPH_0133	158382	156880	Type VI secretion system protein ImpC/EvpB 
Contig_2	PSPPH_0134	158930	158397	Type VI secretion protein 
Contig_2	PSPPH_0135	159883	158999	Uncharacterized protein 
Contig_2	PSPPH_0136	161734	160913	Uncharacterized protein 
Contig_2	PSPPH_0138	164447	163896	Uncharacterized protein 
Contig_2	PSPPH_0139	166903	164567	Oxidoreductase alpha (Molybdopterin) subunit 
Contig_2	PSPPH_0140	167736	166900	Formate dehydrogenase family accessory protein FdhD 
Contig_2	PSPPH_0141	168721	167840	Transcriptional regulator, LysR family 
Contig_2	PSPPH_0142	169440	168763	Hydrolase, HAD-superfamily, subfamily IA, variant 3 
Contig_2	PSPPH_0143	169537	170103	MutT/nudix family protein 
Contig_2	PSPPH_0144	170100	170942	3'(2'),5'-bisphosphate nucleotidase 
Contig_2	PSPPH_0145	171585	171112	Uncharacterized protein 
Contig_2	PSPPH_0146	172957	171572	Sigma-54 dependent DNA-binding response regulator 
Contig_2	PSPPH_0147	174771	172954	Sensor histidine kinase 
Contig_2	PSPPH_0148	174775	174927	Uncharacterized protein 
Contig_2	PSPPH_0149	175481	174936	dTDP-4-dehydrorhamnose 3,5-epimerase 
Contig_2	PSPPH_0150	176644	175562	dTDP-glucose 4,6-dehydratase 
Contig_2	PSPPH_0152	180221	181099	Carbon-nitrogen hydrolase family protein 
Contig_2	PSPPH_0153	181105	182211	Agmatine deiminase 
Contig_2	PSPPH_0154	182435	182668	Uncharacterized protein 
Contig_2	PSPPH_0155	182883	184157	Outer membrane porin, OprD family 
Contig_2	PSPPH_0156	184721	184191	Uncharacterized protein 
Contig_2	PSPPH_0157	184846	185394	Uncharacterized protein 
Contig_2	PSPPH_0158	185495	185968	Acetyltransferase, GNAT family 
Contig_2	PSPPH_0159	186131	186370	Stability cassette protein, putative 
Contig_2	PSPPH_0160	186360	186650	Addiction module toxin RelE 
Contig_2	PSPPH_0161	186767	187159	ISPsy18, transposase 
Contig_2	PSPPH_0162	188108	187305	ISPsy20, transposase IstB 
Contig_2	PSPPH_0163	188667	188101	ISPsy20, transposase IstA 
Contig_2	PSPPH_0164	189206	189700	SciM protein 
Contig_2	PSPPH_0165	189713	190558	Uncharacterized protein 
Contig_2	PSPPH_0166	190631	190536	Uncharacterized protein 
Contig_2	PSPPH_0167	192626	191478	Site-specific recombinase, phage integrase family 
Contig_2	PSPPH_0169	196412	195441	ISPsy2, transposase 
Contig_2	PSPPH_0170	196550	197653	ISPsy19, transposase 
Contig_2	PSPPH_0171	204564	198685	Type III effector HopR1 
Contig_2	PSPPH_0173	207138	207986	Acetylornithine deacetylase 
Contig_2	PSPPH_0174	208088	208642	Uncharacterized protein 
Contig_2	PSPPH_0175	208966	209394	ISPsy2, transposase 
Contig_2	PSPPH_0176	209602	210705	ISPsy19, transposase 
Contig_2	PSPPH_0177	210746	211510	LysR family transcriptional regulator 
Contig_2	PSPPH_0178	211856	212719	Mg-chelatase subunits D/I family, ComM subfamily protein 
Contig_2	PSPPH_0179	212966	214093	ATPase, AAA family 
Contig_2	PSPPH_0180	214090	216300	Unnamed protein product 
Contig_2	PSPPH_0181	216810	218234	Uncharacterized protein 
Contig_2	PSPPH_0182	221149	220514	Transposition helper protein 
Contig_2	PSPPH_0184	222554	222198	Uncharacterized protein 
Contig_2	PSPPH_0185	222660	223280	Mg chelatase-related protein 
Contig_2	PSPPH_0186	224657	223350	Citrate transporter 
Contig_2	PSPPH_0187	224952	225353	Uncharacterized protein 
Contig_2	PSPPH_0188	226817	225420	Uncharacterized protein 
Contig_2	PSPPH_0189	228979	226904	ATP-dependent DNA helicase RecG 
Contig_2	PSPPH_0190	229914	228991	Oxidative stress regulatory protein OxyR 
Contig_2	PSPPH_0191	230753	230007	Ferric siderophore transporter, periplasmic energy transduction protein TonB 
Contig_2	PSPPH_0192	231175	230750	TonB system transport protein ExbD1 
Contig_2	PSPPH_0193	232123	231179	TonB system transport protein ExbB1 
Contig_2	PSPPH_0194	232333	233181	ActC family protein 
Contig_2	PSPPH_0195	233970	233233	Lipoprotein, putative 
Contig_2	PSPPH_0196	234405	234025	Endoribonuclease L-PSP, putative 
Contig_2	PSPPH_0197	236535	234430	Guanosine-3,5-bis(Diphosphate) 3-pyrophosphohydrolase 
Contig_2	PSPPH_0198	236937	236596	DNA-directed RNA polymerase subunit omega 
Contig_2	PSPPH_0199	237672	237007	Guanylate kinase 
Contig_2	PSPPH_0200	238528	237665	Uncharacterized protein 
Contig_2	PSPPH_0201	238839	239561	Ribonuclease PH 
Contig_2	PSPPH_0202	239582	239950	Uncharacterized protein 
Contig_2	PSPPH_0203	240798	240019	Catabolite repression control protein 
Contig_2	PSPPH_0204	240881	241522	Orotate phosphoribosyltransferase 
Contig_2	PSPPH_0205	241533	242165	Uncharacterized protein 
Contig_2	PSPPH_0206	243282	242377	Acetylglutamate kinase 
Contig_2	PSPPH_0207	244708	243311	Phosphomannomutase / Phosphoglucomutase 
Contig_2	PSPPH_0208	246403	245948	Deoxyuridine 5'-triphosphate nucleotidohydrolase 
Contig_2	PSPPH_0209	247657	246410	Phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase 
Contig_2	PSPPH_0210	247754	248428	Uncharacterized protein 
Contig_2	PSPPH_0211	250171	248585	Bacterial extracellular solute-binding protein, family 5 
Contig_2	PSPPH_0212	250536	250769	50S ribosomal protein L28 
Contig_2	PSPPH_0213	250781	250936	50S ribosomal protein L33 
Contig_2	PSPPH_0214	251386	251018	Transcriptional regulator 
Contig_2	PSPPH_0215	251626	253119	Aldehyde dehydrogenase family protein 
Contig_2	PSPPH_0216	253704	254852	Membrane protein, putative 
Contig_2	PSPPH_0217	256429	254849	Phospholipase D family protein 
Contig_2	PSPPH_0218	257923	256502	Transcriptional regulator, GntR family/aminotransferase, classes I and II family protein 
Contig_2	PSPPH_0219	258045	258350	Uncharacterized protein 
Contig_2	PSPPH_0220	259672	258356	Uncharacterized protein 
Contig_2	PSPPH_0221	259724	260131	Uncharacterized protein family (UPF0153) family 
Contig_2	PSPPH_0222	260625	260137	AsnC family transcriptional regulator 
Contig_2	PSPPH_0223	260783	262084	D-amino acid dehydrogenase small subunit 
Contig_2	PSPPH_0224	262056	262409	Endoribonuclease L-PSP family protein 
Contig_2	PSPPH_0225	262498	263571	Alanine racemase 
Contig_2	PSPPH_0226	263696	264244	Helix-hairpin-helix DNA-binding motif-containing protein 
Contig_2	PSPPH_0227	264269	264592	Cytochrome c5, putative 
Contig_2	PSPPH_0228	264775	264656	Uncharacterized protein 
Contig_2	PSPPH_0229	264911	266647	Acetyl-CoA hydrolase/transferase family protein 
Contig_2	PSPPH_0230	267199	266675	Membrane protein, putative 
Contig_2	PSPPH_0231	267281	267988	Cyclic nucleotide-binding protein 
Contig_2	PSPPH_0232	268098	269099	Iron ABC transporter, periplasmic iron-binding protein 
Contig_2	PSPPH_0233	269370	270986	Iron ABC transporter, permease protein 
Contig_2	PSPPH_0234	271139	272221	Aminomethyltransferase 
Contig_2	PSPPH_0235	272265	272654	Glycine cleavage system H protein 
Contig_2	PSPPH_0236	273043	272723	Uncharacterized protein 
Contig_2	PSPPH_0237	274968	273184	Type IV pilus biogenesis protein 
Contig_2	PSPPH_0238	275426	275079	Uncharacterized protein 
Contig_2	PSPPH_0239	275551	276030	Transcriptional regulator, AsnC family 
Contig_2	PSPPH_0240	278644	277190	Uncharacterized protein 
Contig_2	PSPPH_0241	278721	279869	Acetylornithine deacetylase (ArgE) 
Contig_2	PSPPH_0242	279948	281294	Amino-acid acetyltransferase 
Contig_2	PSPPH_0243	283008	281401	Glutamate--cysteine ligase 
Contig_2	PSPPH_0244	283619	283236	Thioesterase family protein 
Contig_2	PSPPH_0245	285940	283619	S1 RNA binding domain protein 
Contig_2	PSPPH_0246	286240	286980	DNA-binding response regulator OmpR 
Contig_2	PSPPH_0247	287132	288454	Osmolarity sensor protein EnvZ 
Contig_2	PSPPH_0248	289169	288702	Inhibitor of vertebrate lysozyme 
Contig_2	PSPPH_0249	289336	289172	UPF0391 membrane protein PssSM_0243 
Contig_2	PSPPH_0250	289714	289394	Uncharacterized protein 
Contig_2	PSPPH_0251	290749	289910	Osmotically inducible protein, putative 
Contig_2	PSPPH_0252	290947	292293	Alginate biosynthesis transcriptional regulatory protein AlgB 
Contig_2	PSPPH_0253	292304	294091	Sensory box histidine kinase 
Contig_2	PSPPH_0254	294939	294160	N-acetylmuramoyl-L-alanine amidase 
Contig_2	PSPPH_0255	297095	295035	Diguanylate cyclase, putative 
Contig_2	PSPPH_0256	297967	297092	Endonuclease/exonuclease/phosphatase family protein 
Contig_2	PSPPH_0257	298621	297977	Thiol:disulfide interchange protein 
Contig_2	PSPPH_0258	298916	299551	Probable GTP-binding protein EngB 
Contig_2	PSPPH_0259	302558	299793	DNA polymerase I 
Contig_2	PSPPH_0260	302633	302920	Uncharacterized protein 
Contig_2	PSPPH_0261	302957	303907	Homoserine kinase 
Contig_2	PSPPH_0262	305098	304157	Zinc ABC transporter, periplasmic zinc-binding protein 
Contig_2	PSPPH_0263	305166	305648	Transcriptional regulator, Fur family 
Contig_2	PSPPH_0264	305648	306445	Zinc import ATP-binding protein ZnuC 
Contig_2	PSPPH_0265	306438	307226	Zinc ABC transporter, permease protein 
Contig_2	PSPPH_0266	307265	307981	Lipoprotein, putative 
Contig_2	PSPPH_0267	310283	308133	Catalase 
Contig_2	PSPPH_0268	310590	311597	Methionine import ATP-binding protein MetN 1 
Contig_2	PSPPH_0269	311597	312271	D-methionine ABC transporter, permease protein 
Contig_2	PSPPH_0270	312322	313095	D-methionine-binding lipoprotein MetQ 
Contig_2	PSPPH_0271	313909	313250	Sco1/SenC family protein 
Contig_2	PSPPH_0272	314434	313946	Cytochrome c oxidase assembly protein, CtaG/Cox11 family 
Contig_2	PSPPH_0273	314704	315354	Uncharacterized protein 
